,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT,DOGEUSDT
2021-08-12 00:00:00,0.40437965170174694,0.22471283007689502,0.8347728832500755,0.6921653574385618,0.9672878334849262,3.756673746735527
2021-08-13 00:00:00,0.6811589467300013,1.461236719721852,1.3345197999842975,1.5705510902390531,0.4591767761145136,1.0653133342099008
2021-08-14 00:00:00,-0.12135311140662475,-0.5173454781268907,0.12991222011338788,0.27654207400640907,0.9854908474147781,3.942550380543394
2021-08-15 00:00:00,0.9030434193793763,1.8808787855115656,1.2914136605370885,1.8193007811336508,0.5681639334495139,1.0786113817185878
2021-08-16 00:00:00,0.3003581488990512,-0.2323426230656258,-1.4434760506646755,0.49361525115017124,0.9971255864938136,4.358723247326302
2021-08-17 00:00:00,0.7414040891178795,1.904362134250036,-1.0157247702942354,1.5686064522765861,0.46368988737087036,0.34162594108322697
2021-08-18 00:00:00,0.47634078287443027,0.17440924978392447,0.5749973180393935,1.0524789361912779,0.929743493067656,3.860236853518707
2021-08-19 00:00:00,0.4591715462401621,1.1654498862885962,-0.1851336981704137,1.2802683469283918,0.6306724234341277,1.1132794347120667
2021-08-20 00:00:00,0.20214560499601175,-0.01770054122746778,1.1883301826538275,0.30763634614520763,1.033331236164506,3.761315818825691
2021-08-21 00:00:00,0.33259257196760006,1.1177843590985133,0.5656835997006834,1.3535823069288058,0.5727458167140926,1.3447752450056352
2021-08-22 00:00:00,0.6560470873193326,0.6513709645700108,2.009654437290763,1.1169758348108434,0.9504323351616677,3.1748130431996633
2021-08-23 00:00:00,0.3602108541032151,0.8327937672011366,1.7189785662536876,1.195656407912757,0.6355181968269819,1.6770451696853224
2021-08-24 00:00:00,0.5440243276576702,0.5371414977685645,1.0840804342870778,0.29656235190885116,0.96449685608145,3.0781834031874395
2021-08-25 00:00:00,0.6849476979789227,1.2824300247487277,2.116148253507006,2.296348099380269,0.4428035948038742,1.3070540441962075
2021-08-26 00:00:00,0.23519943021581102,0.23817725796585543,1.340725970292047,-0.1913271091882911,1.1462541507523842,3.382258113846395
2021-08-27 00:00:00,0.9022751936643904,1.4948517460275352,0.9793061649243172,2.673324808412777,0.33661404434174313,1.050395244590347
2021-08-28 00:00:00,-0.005634302556775217,-0.23150261127734195,-0.4298379817296336,-0.25403504868769256,1.2677843489664105,4.043918392694758
2021-08-29 00:00:00,0.7600964781992846,1.632586827264403,0.13301935295100287,2.4199130001060194,0.34186271401447166,0.7845433881504249
2021-08-30 00:00:00,0.42315784518279786,0.14145255266388324,1.371408527822832,0.3122466422432406,1.219262001367466,3.6558556590573437
2021-08-31 00:00:00,0.7990269501301691,1.2337684700876703,-0.2621660266660679,2.180411607052867,0.3385321661062404,1.0844243500325828
